artist_mbid,mbid_canonico,nombre,nombre_orden,tipo,genero,area,anio_inicio,anio_fin,tags,wikidata,fuente
e5b785a4-27e2-45a4-b843-dde45f2bb3da,e5b785a4-27e2-45a4-b843-dde45f2bb3da,Won Ton Ton,Won Ton Ton,Group,,Belgium,1987,1992,pop,https://www.wikidata.org/wiki/Q1280955,musicbrainz
e5b8c0f3-0752-4a76-987a-96098ce9d490,e5b8c0f3-0752-4a76-987a-96098ce9d490,The Flatliners,"Flatliners, The",Group,,Canada,2002,,punk;punk rock;ska punk;skate punk,https://www.wikidata.org/wiki/Q126615,musicbrainz
e5bda626-1c32-44d4-8d7b-3cd2c14695c6,e5bda626-1c32-44d4-8d7b-3cd2c14695c6,Vyvienne Long,"Long, Vyvienne",Person,Female,Ireland,,,,https://www.wikidata.org/wiki/Q2069395,musicbrainz
e5bdfc1d-f34e-4ac4-811b-c7c3186320ba,4c053636-f8e8-4bc7-91f2-51393944053a,Joe T. Vannelli,"Vannelli, Joe T.",Person,Male,Italy,1958,,,,musicbrainz
e5bea129-7524-42c1-8409-e29cfc80caef,e5bea129-7524-42c1-8409-e29cfc80caef,Executioner,Executioner,Group,,Italy,2004,2008,,,musicbrainz
e5c1825b-8d27-47de-9c6b-a2d6cde9be0a,e5c1825b-8d27-47de-9c6b-a2d6cde9be0a,Prince Fatty,Prince Fatty,Person,Male,United Kingdom,,,soul and reggae,https://www.wikidata.org/wiki/Q6845801,musicbrainz
e5c2aab0-592c-45c1-a27b-1ace3940c673,e5c2aab0-592c-45c1-a27b-1ace3940c673,Jungle Wonz,Jungle Wonz,Person,Male,United States,1959,,,,musicbrainz
e5c6527c-1895-454a-b0dc-f5bcf8bd0414,e5c6527c-1895-454a-b0dc-f5bcf8bd0414,Gripin,Gripin,Group,,Türkiye,1999,,komşu,https://www.wikidata.org/wiki/Q843036,musicbrainz
e5c7b94f-e264-473c-bb0f-37c85d4d5c70,e5c7b94f-e264-473c-bb0f-37c85d4d5c70,Belle and Sebastian,Belle and Sebastian,Group,,United Kingdom,1996,,indie pop;twee pop;chamber pop;baroque pop;scottish,https://www.wikidata.org/wiki/Q691568,musicbrainz
e5cbbd69-7996-4b9b-a32d-936630fb2700,e5cbbd69-7996-4b9b-a32d-936630fb2700,Miguel Ángel Muñoz,"Muñoz, Miguel Ángel",Person,Male,Spain,1983,,,https://www.wikidata.org/wiki/Q1078846,musicbrainz
e5d25af5-95e3-42a5-8fe0-6d6f80ef0f06,e5d25af5-95e3-42a5-8fe0-6d6f80ef0f06,Spark,Spark,Person,,,,,ambient;electronic;idm,,musicbrainz
e5d5cb2d-7874-426d-a965-f3e965ed2084,e5d5cb2d-7874-426d-a965-f3e965ed2084,State of Chaos,State of Chaos,,,,,,,,musicbrainz
e5d87018-16a1-4a05-acfd-6a4809ac62f6,e5d87018-16a1-4a05-acfd-6a4809ac62f6,The Field,"Field, The",Person,Male,Stockholm,,,ambient techno;electronic;minimal techno;swedish;european,https://www.wikidata.org/wiki/Q1245607,musicbrainz
e5d928e1-b020-4dd8-9497-7aaee1b337bd,e5d928e1-b020-4dd8-9497-7aaee1b337bd,Nadia Ali,"Ali, Nadia",Person,Female,United States,1980,,american;electronic dance music;electronica and dance;house;pakistani,https://www.wikidata.org/wiki/Q239940,musicbrainz
e5da3bc7-e66e-4644-908a-4e9365e0449d,e4bb662e-3f96-4aaf-b9e3-1d3f34d541c1,Björn Åkesson,"Åkesson, Björn",Person,Male,Sweden,,,trance,,musicbrainz
e5db18cb-4b1f-496d-a308-548b611090d3,e5db18cb-4b1f-496d-a308-548b611090d3,Sex Pistols,Sex Pistols,Group,,United Kingdom,1975,1978,punk rock;punk;british,https://www.wikidata.org/wiki/Q82545,musicbrainz
e5db3428-13e5-4c71-b550-322891a02017,e5db3428-13e5-4c71-b550-322891a02017,Tri-Star,Tri-Star,Group,,Italy,1997,2011,eurobeat,,musicbrainz
e5dd0d0b-6151-45d8-bca8-78aad8c95566,e5dd0d0b-6151-45d8-bca8-78aad8c95566,The Joe Perry Project,"Perry, Joe, Project, The",Group,,United States,1979,,2008 universal fire victim;blues rock;hard rock;rock,https://www.wikidata.org/wiki/Q3176343,musicbrainz
e5dd4cdf-8588-4f10-b06e-77e1d2472b60,e5dd4cdf-8588-4f10-b06e-77e1d2472b60,Silver Convention,Silver Convention,Group,,Germany,1974,1979,disco;euro-disco,https://www.wikidata.org/wiki/Q125533,musicbrainz
e5e05158-5ee9-4933-b9ba-7fb2e3fcff11,e5e05158-5ee9-4933-b9ba-7fb2e3fcff11,Laakso,Laakso,Group,,Sweden,2000,,,https://www.wikidata.org/wiki/Q4348153,musicbrainz
e5e17a46-5f66-4ee7-8377-0c3ddb257eb8,e5e17a46-5f66-4ee7-8377-0c3ddb257eb8,Mickey Gilley,"Gilley, Mickey",Person,Male,United States,1936,2022,country;nashville sound;country pop;pop;rock & roll,https://www.wikidata.org/wiki/Q324757,musicbrainz
e5e61044-a1f0-4b69-af1d-92206adb7dcc,e5e61044-a1f0-4b69-af1d-92206adb7dcc,Arid,Arid,Group,,Belgium,1995,2012,,https://www.wikidata.org/wiki/Q657698,musicbrainz
e5e88ded-e7dd-463c-994e-412ebab56fb0,e5e88ded-e7dd-463c-994e-412ebab56fb0,Dave Barnes,"Barnes, Dave",Person,Male,United States,1978,,rock;acoustic;blue-eyed soul;contemporary christian,https://www.wikidata.org/wiki/Q1173107,musicbrainz
e5ebec73-d59e-43f5-a0cf-bf63feadf0ca,ef3122c6-413d-455b-bd98-53b81572b1c5,NANA,NANA,Person,Female,Japan,1973,,,https://www.wikidata.org/wiki/Q11234397,musicbrainz
e5ef73d3-58ce-4a71-bbf7-72cf5cb2393a,e5ef73d3-58ce-4a71-bbf7-72cf5cb2393a,Thunderclap Newman,Thunderclap Newman,Group,,United Kingdom,1969,1970,pop rock;psychedelic pop;rock;awesome name;folk rock,https://www.wikidata.org/wiki/Q2165685,musicbrainz
e5f2a453-68b5-48b0-85c4-9ec317dee0b0,e5f2a453-68b5-48b0-85c4-9ec317dee0b0,Hood,Hood,Group,,United Kingdom,1990,,post-rock;lo-fi;slowcore;ambient;dreamgaze,https://www.wikidata.org/wiki/Q1627359,musicbrainz
e5f8fd89-28f2-41b6-a58b-bd5e5fe656e5,e5f8fd89-28f2-41b6-a58b-bd5e5fe656e5,The Ropers,"Ropers, The",Group,,,,,,,musicbrainz
e5f902f1-4ee4-4594-9cbc-92ee0669b17b,e5f902f1-4ee4-4594-9cbc-92ee0669b17b,Celelalte Cuvinte,Celelalte Cuvinte,Group,,Romania,1981,,progressive rock;romanian,https://www.wikidata.org/wiki/Q5057801,musicbrainz
e5fbd7a7-eaaa-49fa-8512-ac2d1b416011,e5fbd7a7-eaaa-49fa-8512-ac2d1b416011,John D. Loudermilk,"Loudermilk, John D.",Person,Male,United States,1934,2016,,https://www.wikidata.org/wiki/Q707201,musicbrainz
e5fbe88b-fcab-410e-889e-73fa97c04e5b,e5fbe88b-fcab-410e-889e-73fa97c04e5b,Andrea,Andrea,Person,,,,,,,musicbrainz
